N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,SK바이오팜,"73,200","5,100",-6.51%,500,"57,325","78,313",5.94,"339,722",-141.86,-135.18,
60,에스디바이오센서,"55,400","1,500",-2.64%,500,"57,212","103,271",9.99,"1,215,663",8.40,139.97,
61,LG유플러스,"12,750",250,-1.92%,"5,000","55,668","436,611",35.42,"1,246,306",14.18,6.46,
62,한국조선해양,"78,000","2,800",-3.47%,"5,000","55,203","70,773",19.77,"334,536",-4.28,-7.42,
63,한온시스템,"10,300",400,-3.74%,100,"54,981","533,800",17.48,"997,333",18.80,5.09,
64,SKC,"142,500","5,000",-3.39%,"5,000","53,962","37,868",16.51,"239,815",29.03,2.21,
65,KODEX 200,"35,345","1,165",-3.19%,0,"53,742","152,050",6.85,"8,677,766",N/A,N/A,
66,맥쿼리인프라,"13,250",50,-0.38%,0,"53,642","404,846",13.38,"1,537,288",N/A,N/A,
67,미래에셋증권,"8,130",230,-2.75%,"5,000","51,651","635,316",13.00,"1,445,916",5.56,8.94,
68,코웨이,"69,800","3,300",-4.51%,500,"51,512","73,800",60.65,"218,468",11.56,31.51,
69,강원랜드,"24,000",550,-2.24%,500,"51,346","213,940",19.37,"755,802",-155.84,-7.92,
70,현대제철,"38,400","1,600",-4.00%,"5,000","51,243","133,446",20.92,"717,438",5.88,-2.59,
71,CJ제일제당,"334,000","21,000",-5.92%,"5,000","50,281","15,054",22.25,"62,797",11.39,13.50,
72,삼성중공업,"5,090",170,-3.23%,"1,000","44,792","880,000",14.14,"4,584,623",-2.07,-33.06,
73,일진머티리얼즈,"95,300","3,000",-3.05%,500,"43,944","46,111",12.94,"410,719",69.16,7.23,
74,금호석유,"144,000","3,500",-2.37%,"5,000","43,626","30,296",19.74,"164,394",2.58,20.18,
75,현대건설,"38,550","1,700",-4.22%,"5,000","42,928","111,356",22.67,"852,862",25.63,1.84,
76,메리츠증권,"6,280",210,-3.24%,"1,000","42,813","681,731",13.04,"2,081,526",6.38,13.08,
77,DB손해보험,"60,100","2,900",-4.60%,500,"42,551","70,800",42.92,"196,057",5.34,9.08,
78,삼성엔지니어링,"20,800",750,-3.48%,"5,000","40,768","196,000",35.69,"1,461,077",11.51,17.32,
